 written on  3Aug2019 at 14:53:37 
           2
         891
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2
   -4    0    0    1    1   -0.004540   -0.000000
   -4    0    0    2    1    0.008003   -0.000000
   -4    0    0    1    2    0.008003   -0.000000
   -4    0    0    2    2   -0.012632    0.000000
   -4    0    1    1    1   -0.001130   -0.000000
   -4    0    1    2    1    0.001649   -0.000000
   -4    0    1    1    2    0.001649   -0.000000
   -4    0    1    2    2   -0.002239   -0.000000
   -4    0    2    1    1    0.000066    0.000000
   -4    0    2    2    1   -0.000284   -0.000000
   -4    0    2    1    2   -0.000284   -0.000000
   -4    0    2    2    2    0.000593    0.000000
   -4    0    3    1    1   -0.000265    0.000000
   -4    0    3    2    1    0.000332    0.000000
   -4    0    3    1    2    0.000332    0.000000
   -4    0    3    2    2   -0.000533   -0.000000
   -4    0    4    1    1   -0.000142   -0.000000
   -4    0    4    2    1    0.000055    0.000000
   -4    0    4    1    2    0.000055    0.000000
   -4    0    4    2    2    0.000099    0.000000
   -4    0    5    1    1   -0.000248   -0.000000
   -4    0    5    2    1    0.000312    0.000000
   -4    0    5    1    2    0.000312    0.000000
   -4    0    5    2    2   -0.000336   -0.000000
   -4    1   -5    1    1    0.000077    0.000000
   -4    1   -5    2    1    0.000010   -0.000000
   -4    1   -5    1    2    0.000010   -0.000000
   -4    1   -5    2    2    0.000010    0.000000
   -4    1   -4    1    1    0.000022    0.000000
   -4    1   -4    2    1   -0.000004   -0.000000
   -4    1   -4    1    2   -0.000004   -0.000000
   -4    1   -4    2    2   -0.000070    0.000000
   -4    1   -3    1    1    0.000037    0.000000
   -4    1   -3    2    1   -0.000019   -0.000000
   -4    1   -3    1    2   -0.000019   -0.000000
   -4    1   -3    2    2   -0.000071   -0.000000
   -4    1   -2    1    1   -0.000022   -0.000000
   -4    1   -2    2    1    0.000032   -0.000000
   -4    1   -2    1    2    0.000032   -0.000000
   -4    1   -2    2    2   -0.000211   -0.000000
   -4    1   -1    1    1   -0.000216    0.000000
   -4    1   -1    2    1    0.000294    0.000000
   -4    1   -1    1    2    0.000294    0.000000
   -4    1   -1    2    2   -0.000397    0.000000
   -4    1    0    1    1   -0.000446   -0.000000
   -4    1    0    2    1    0.001258    0.000000
   -4    1    0    1    2    0.001258    0.000000
   -4    1    0    2    2   -0.001715    0.000000
   -4    1    1    1    1   -0.000216    0.000000
   -4    1    1    2    1    0.000294    0.000000
   -4    1    1    1    2    0.000294    0.000000
   -4    1    1    2    2   -0.000397    0.000000
   -4    1    2    1    1   -0.000022    0.000000
   -4    1    2    2    1    0.000032    0.000000
   -4    1    2    1    2    0.000032    0.000000
   -4    1    2    2    2   -0.000211    0.000000
   -4    1    3    1    1    0.000037    0.000000
   -4    1    3    2    1   -0.000019   -0.000000
   -4    1    3    1    2   -0.000019   -0.000000
   -4    1    3    2    2   -0.000071   -0.000000
   -4    1    4    1    1    0.000022   -0.000000
   -4    1    4    2    1   -0.000004    0.000000
   -4    1    4    1    2   -0.000004    0.000000
   -4    1    4    2    2   -0.000070    0.000000
   -4    1    5    1    1    0.000077    0.000000
   -4    1    5    2    1    0.000010   -0.000000
   -4    1    5    1    2    0.000010   -0.000000
   -4    1    5    2    2    0.000010    0.000000
   -4    2   -5    1    1    0.000092    0.000000
   -4    2   -5    2    1   -0.000066    0.000000
   -4    2   -5    1    2   -0.000066    0.000000
   -4    2   -5    2    2    0.000134    0.000000
   -4    2   -4    1    1    0.000065    0.000000
   -4    2   -4    2    1   -0.000004   -0.000000
   -4    2   -4    1    2   -0.000004   -0.000000
   -4    2   -4    2    2   -0.000156    0.000000
   -4    2   -3    1    1   -0.000003   -0.000000
   -4    2   -3    2    1   -0.000028   -0.000000
   -4    2   -3    1    2   -0.000028   -0.000000
